# FEMICIDE IN PERU
# 2009 - 2016
# Source: <TODO>
#   ID,      DEPARTMENT,     FEMICIDE,    ATTEMPTED
    PE.AM,   Amazonas,              7,           26
    PE.AN,   Ancash,               33,           38
    PE.AP,   Apurímac,              6,            9
    PE.AR,   Arequipa,             60,           60
    PE.AY,   Ayacucho,             41,           39
    PE.CJ,   Cajamarca,            19,           22
    PE.CL,   Callao,               24,           34
    PE.CS,   Cusco,                35,           42
    PE.HV,   Huancavelica,          8,           24
    PE.HC,   Huánuco,              23,           38
    PE.IC,   Ica,                  16,           31
    PE.JU,   Junín,                46,           57
    PE.LL,   La Libertad,          27,           39
    PE.LB,   Lambayeque,           24,            7
    PE.LR,   Lima,                293,          277
    PE.LO,   Loreto,                8,           24
    PE.MD,   Madre de Dios,         7,            8
    PE.MQ,   Moquegua,              6,            4
    PE.PA,   Pasco,                12,           21
    PE.PI,   Piura,                24,           27
    PE.PU,   Puno,                 43,           36
    PE.SM,   San Martín,           11,           27
    PE.TA,   Tacna,                24,           10
    PE.TU,   Tumbes,                4,            8
    PE.UC,   Ucayali,              11,           13
